"YIANNOUTSOS, CONSTANTIN THEODORE","WOOLS-KALOUSTIAN, KARA KAY"
"PERKINS, REBECCA BERNSTEIN","JOSEPH, NATALIE"
"SATRE, DEREK D","SILVERBERG, MICHAEL J"
"FRAZIER, JEAN A","KENNEDY, DAVID NELSON"
"ZOELLNER, SEBASTIAN","ROSENBERG, NOAH"
"SAMET, JEFFREY H.","FREIBERG, MATTHEW S"
"QUEST, TAMMIE E","HOLSTAD, MARCIA MCDONNELL"
"WEISSMAN, MYRNA M","MCGRATH, PATRICK J"
"WEISSMAN, MYRNA M","PARSEY, RAMIN V."
"MCGRATH, PATRICK J","PARSEY, RAMIN V."
"POWERS, ALVIN C","AGUILAR-BRYAN, LYDIA"
"HOGAN, PATRICK","RAO, ANJANA"
"CRIBBS, DAVID HASTINGS","FISHER, MARK J"
"SILVERMAN, NEAL","BAEHRECKE, ERIC H"
"UC, ALIYE","NORRIS, ANDREW W"
"PESKIN, MELISSA","SHEGOG, ROSS"
"JUST, MARCEL ADAM","MITCHELL, TOM MICHAEL"
"PENA, JOSE L","TAKAHASHI, TERRY T"
"PENA, JOSE L","FISCHER, BRIAN J"
"TAKAHASHI, TERRY T","FISCHER, BRIAN J"
"HUK, ALEXANDER C","PILLOW, JONATHAN WILLIAM"
"CELLA, DAVID","HELFAND, BRIAN TODD"
"AMUNDSEN, CINDY","WEINFURT, KEVIN P"
"KIELA, PAWEL R","GHISHAN, FAYEZ KHALAF"
"FEANY, MEL B","GAMBLIN, TRUMAN C"
"RYBAK, ILYA A","HARRIS-WARRICK, RONALD M"
"BURNS, RANDAL","LICHTMAN, JEFF W"
"KREDER, KARL J","BRADLEY, CATHERINE S"
"JAGOTA, ANAND","LITTLETON, J. TROY"
"JAGOTA, ANAND","HUI, CHUNG YUEN"
"JAGOTA, ANAND","BYKHOVSKAIA, MARIA"
"LITTLETON, J. TROY","HUI, CHUNG YUEN"
"LITTLETON, J. TROY","BYKHOVSKAIA, MARIA"
"HUI, CHUNG YUEN","BYKHOVSKAIA, MARIA"
"GILLAM, RONALD B.","EVANS, JULIA L"
"GILLAM, RONALD B.","MONTGOMERY, JAMES W"
"EVANS, JULIA L","MONTGOMERY, JAMES W"
"SMITS, JASPER","ZVOLENSKY, MICHAEL J."
"RICH, JOSIAH D","SOLOMON, LIZA"
"MUSTANSKI, BRIAN","GAROFALO, ROBERT"
"TOLAR, JAKUB","ROOP, DENNIS"
"WIDELITZ, RANDALL BRUCE","CHUONG, CHENG-MING"
"FLEMING, ROBERT E","RIVELLA, STEFANO"
"EDGERTON, REGGIE","PHELPS, PATRICIA EMORY"
"BOULIS, NICHOLAS M","FELDMAN, EVA LUCILLE"
"BOULIS, NICHOLAS M","GLASS, JONATHAN DAVID"
"BOULIS, NICHOLAS M","RUTKOVE, SEWARD B."
"FELDMAN, EVA LUCILLE","GLASS, JONATHAN DAVID"
"FELDMAN, EVA LUCILLE","RUTKOVE, SEWARD B."
"GLASS, JONATHAN DAVID","RUTKOVE, SEWARD B."
"COSENTINO, STEPHANIE ANN","HUEY, EDWARD D"
"LYKETSOS, CONSTANTINE G","LOZANO, ANDRES M."
"EL KALIOUBY, RANA","CRAIG, KENNETH DENTON"
"EL KALIOUBY, RANA","HUANG, JEANNIE S"
"EL KALIOUBY, RANA","BARTLETT, MARIAN STEWART"
"CRAIG, KENNETH DENTON","HUANG, JEANNIE S"
"CRAIG, KENNETH DENTON","BARTLETT, MARIAN STEWART"
"HUANG, JEANNIE S","BARTLETT, MARIAN STEWART"
"BYRNE, BARRY J","FULLER, DAVID D"
"WHITE, JOHN A.","WILCOX, KAREN S"
"DUNN, ANDREW K","ZUO, YI"
"DUNN, ANDREW K","JONES, THERESA A"
"ZUO, YI","JONES, THERESA A"
"MARRIOTT, IAN","PHILIPP, MARIO TOMAS"
"SANDER, CHRIS","JU, JINGYUE"
"SANDER, CHRIS","MOROZ, LEONID L"
"SANDER, CHRIS","KANDEL, ERIC R"
"JU, JINGYUE","MOROZ, LEONID L"
"JU, JINGYUE","KANDEL, ERIC R"
"MOROZ, LEONID L","KANDEL, ERIC R"
"GILAD, YOAV","PRITCHARD, JONATHAN K"
"BRAIDA, LOUIS D","REED, CHARLOTTE M"
"OFFIT, KENNETH","LIPKIN, STEVEN M"
"LIDDINGTON, ROBERT COLIN","NELSON, W. JAMES"
"PETERSON, E ANNE","ALVARADO, LUISA I"
"KAMYA, MOSES ROBERT","DORSEY, MATTHEW G"
"BRAZ, JOAO","BASBAUM, ALLAN I."
"KUMAR, RAJESH","WOO, MARY ANN"
"BELL, GRAEME I","NOBREGA, MARCELO A."
"MARCHUK, DOUGLAS A.","AWAD, ISSAM A"
"ROSENFELD, STEVEN S","CANOLL, PETER"
"HARRIS, JASON B","IVERS, LOUISE C."
"CHONCHOL, MICHEL BENJAMIN","GITOMER, BERENICE YOLANDE"
"CHONCHOL, MICHEL BENJAMIN","WOLF, MYLES S"
"GITOMER, BERENICE YOLANDE","WOLF, MYLES S"
"DONNELLY, JOSEPH E.","SULLIVAN, DEBRA K"
"BERENSON, GERALD SANDERS","CHEN, WEI"
"MARCHI, NICOLA","JANIGRO, DAMIR"
"ELMQUIST, WILLIAM","SARKARIA, JANN N."
"GORE, JOHN C","BYUN, NELLIE EUNJOO"
"GALAN, JORGE E","HANG, HOWARD C"
"KOVATCHEV, BORIS P","BRETON, MARC D"
"METRIK, JANE","BORSARI, BRIAN"
"NEWBURGER, PETER E","WEISSMAN, SHERMAN MORTON"
"MCDERMOTT, SUZANNE W","SELASSIE, ANBESAW W."
"WOLFSON, MARK","SPANGLER, JOHN G"
"PERSIDSKY, YURI","HAORAH, JAMES"
"DILLON, GLENN H","PROKAI, LASZLO"
"DILLON, GLENN H","FORSTER, MICHAEL J."
"PROKAI, LASZLO","FORSTER, MICHAEL J."
"TYAGI, PRADEEP","YOSHIMURA, NAOKI"
"TYAGI, PRADEEP","CHANCELLOR, MICHAEL B"
"YOSHIMURA, NAOKI","CHANCELLOR, MICHAEL B"
"MORRIS, JOHN B","JORDT, SVEN-ERIC"
"HADDOCK, CHRISTOPHER KEITH","MALONE, RUTH E"
"SPIRA, AVRUM E","DUBINETT, STEVEN M."
"SPIRA, AVRUM E","LENBURG, MARC ELLIOTT"
"SPIRA, AVRUM E","ELASHOFF, DAVID"
"SPIRA, AVRUM E","HAYDEN, PATRICK J"
"DUBINETT, STEVEN M.","LENBURG, MARC ELLIOTT"
"DUBINETT, STEVEN M.","ELASHOFF, DAVID"
"DUBINETT, STEVEN M.","HAYDEN, PATRICK J"
"LENBURG, MARC ELLIOTT","ELASHOFF, DAVID"
"LENBURG, MARC ELLIOTT","HAYDEN, PATRICK J"
"ELASHOFF, DAVID","HAYDEN, PATRICK J"
"TYNDALE, RACHEL FYNVOLA","LERMAN, CARYN"
"LAYARD, RICHARD","STEPTOE, ANDREW"
"LAYARD, RICHARD","KNAPP, MARTIN"
"LAYARD, RICHARD","MACHIN, STEPHEN JONATHAN"
"STEPTOE, ANDREW","KNAPP, MARTIN"
"STEPTOE, ANDREW","MACHIN, STEPHEN JONATHAN"
"KNAPP, MARTIN","MACHIN, STEPHEN JONATHAN"
"MCCLAIN, CRAIG J.","SZABO, GYONGYI"
"MCCLAIN, CRAIG J.","MCCULLOUGH, ARTHUR JOSEPH"
"MCCLAIN, CRAIG J.","MITCHELL, MACK CLARENCE"
"SZABO, GYONGYI","MCCULLOUGH, ARTHUR JOSEPH"
"SZABO, GYONGYI","MITCHELL, MACK CLARENCE"
"MCCULLOUGH, ARTHUR JOSEPH","MITCHELL, MACK CLARENCE"
"LINAKIS, JAMES G","SPIRITO, ANTHONY"
"LEVY, SHARON J","WEITZMAN, ELISSA R"
"CRABB, DAVID W","CHALASANI, NAGA P"
"CHASSIN, LAURIE A","PRESSON, CLARK C."
"DRUSS, BENJAMIN G","NARASIMHAN, MEERA"
"LINDROOTH, RICHARD C.","MCCONNELL, KENNETH JOHN"
"VAZQUEZ-LASLOP, NORA","MANKIN, ALEXANDER S"
"SPRING, BONNIE","COLLINS, LINDA M"
"NEWBERRY, RODNEY D","MILLER, MARK JAMES"
"MESSINGER, DANIEL S","STONE, WENDY L."
"BADRE, DAVID","AMSO, DIMA"
"METCALF, SARA","KUNZEL, CAROL"
"METCALF, SARA","NORTHRIDGE, MARY EVELYN"
"KUNZEL, CAROL","NORTHRIDGE, MARY EVELYN"
"METCALF, SARA","KUNZEL, CAROL"
"METCALF, SARA","NORTHRIDGE, MARY EVELYN"
"KUNZEL, CAROL","NORTHRIDGE, MARY EVELYN"
"CHMAIT, RAMEN","BAR-COHEN, YANIV"
"BOIVIN, MICHAEL JOSEPH","FOWLER, MARY GLENN"
"BIJUR, POLLY ELLEN","BIRNBAUM, ADRIENNE JEANNE"
"WANG, ZHENGQIANG","PARNIAK, MICHAEL A"
"WANG, ZHENGQIANG","SARAFIANOS, STEFAN G"
"PARNIAK, MICHAEL A","SARAFIANOS, STEFAN G"
"BLACKWELL, TIMOTHY S.","PRINCE, LAWRENCE S"
"VOLANDES, ANGELO","MITCHELL, SUSAN L"
"WICKREMA, AMITTHA","VERMA, AMIT K."
"HRAVNAK, MARILYN","PINSKY, MICHAEL R"
"PIGEON, WILFRED R","HEFFNER, KATHI L"
"LI, HENRY","GUO, PEIXUAN"
"LI, HENRY","ROSSI, JOHN JOSEPH"
"GUO, PEIXUAN","ROSSI, JOHN JOSEPH"
"JOHNSON, LYNNE L.","D'ARMIENTO, JEANINE M"
"GHAFFARI, SAGHI","BRESNICK, EMERY H"
"CEPEDA, ALICE","VALDEZ, AVELARDO"
"HIGASHI, RICHARD M","MOSELEY, HUNTER NATHANIEL"
"HIGASHI, RICHARD M","NANTZ, MICHAEL H"
"HIGASHI, RICHARD M","FAN, TERESA WHEI-MEI"
"MOSELEY, HUNTER NATHANIEL","NANTZ, MICHAEL H"
"MOSELEY, HUNTER NATHANIEL","FAN, TERESA WHEI-MEI"
"NANTZ, MICHAEL H","FAN, TERESA WHEI-MEI"
"BOGYO, MATTHEW","ROSEN, GLENN D."
"CHOW, ROBERT HSIU-PING","KNOWLES, JAMES A"
"CAI, LONG","SOMLO, GEORGE NONE"
"TYAGI, SANJAY","BUSHKIN, YURI"
"TYAGI, SANJAY","GENNARO, MARIA LAURA"
"BUSHKIN, YURI","GENNARO, MARIA LAURA"
"FOREST, CRAIG","BOYDEN, EDWARD S."
"FOREST, CRAIG","ZENG, HONGKUI"
"BOYDEN, EDWARD S.","ZENG, HONGKUI"
"WOZNIAK, DANIEL J","SEN, CHANDAN K"
"KIM, JUNHYONG","EBERWINE, JAMES H"
"COOPER, LAURENCE J.N.","VARADARAJAN, NAVIN"
"GERDES, MICHAEL","COFFEY, ROBERT J."
"GERDES, MICHAEL","SHAIKH, KASHAN"
"COFFEY, ROBERT J.","SHAIKH, KASHAN"
"GOLD, JOSHUA I","KABLE, JOSEPH W"
"TAPERT, SUSAN F","BROWN, SANDRA A"
"TAPERT, SUSAN F","BROWN, SANDRA A"
"PFEFFERBAUM, ADOLF","ROHLFING, TORSTEN"
"BAKER, FIONA C","COLRAIN, IAN MICHAEL"
"BAKER, FIONA C","COLRAIN, IAN MICHAEL"
"MCSHANE, MIKE","WISNIEWSKI, NATALIE ANN"
"BROWN, EMERY N","WILSON, MATTHEW A"
"BROWN, EMERY N","BOYDEN, EDWARD S."
"BROWN, EMERY N","SOLT, KEN"
"WILSON, MATTHEW A","BOYDEN, EDWARD S."
"WILSON, MATTHEW A","SOLT, KEN"
"BOYDEN, EDWARD S.","SOLT, KEN"
"GEREAU, ROBERT W","ROGERS, JOHN"
"GEREAU, ROBERT W","ROGERS, JOHN"
"GIANNESCHI, NATHAN CLAUDE","CHRISTMAN, KAREN L"
"SHEA, LONNIE D","BACKMAN, VADIM"
"PATEL, DINSHAW J","TUSCHL, THOMAS"
"PATEL, DINSHAW J","OHLER, UWE"
"TUSCHL, THOMAS","OHLER, UWE"
"COWAN, CHAD ALBERT","ALTSHULER, DAVID"
"LOSERT, WOLFGANG","FOURKAS, JOHN T"
"WUCHERPFENNIG, KAI W","GOTTSCHALK, STEPHEN"
"STOJANOVIC, MILAN N","YAN, HAO"
"UKOMADU, CHINWEIKE","SADLER EDEPLI, KIRSTEN C"
"KAZMIERCZAK, BARBARA I","EGAN, MARIE E"
"ESTHER, CHARLES RICHARD","MUHLEBACH, MARIANNE S"
"ESTHER, CHARLES RICHARD","STICK, STEPHEN"
"MUHLEBACH, MARIANNE S","STICK, STEPHEN"
"ROSSI, JOHN JOSEPH","BURNETT, JOHN CORY"
"DWORK, ANDREW J","ROSOKLIJA, GORAZD B."
"DWORK, ANDREW J","ROSOKLIJA, GORAZD B."
"HATSUKAMI, DOROTHY K","YUAN, JIAN-MIN"
"TEMKIN, NANCY R","CHESNUT, RANDALL M"
"TEMKIN, NANCY R","RONDINA, CARLOS"
"TEMKIN, NANCY R","CARNEY, NANCY A"
"CHESNUT, RANDALL M","RONDINA, CARLOS"
"CHESNUT, RANDALL M","CARNEY, NANCY A"
"RONDINA, CARLOS","CARNEY, NANCY A"
"TEMKIN, NANCY R","CHESNUT, RANDALL M"
"TEMKIN, NANCY R","RONDINA, CARLOS"
"TEMKIN, NANCY R","CARNEY, NANCY A"
"CHESNUT, RANDALL M","RONDINA, CARLOS"
"CHESNUT, RANDALL M","CARNEY, NANCY A"
"RONDINA, CARLOS","CARNEY, NANCY A"
"KIEM, HANS-PETER","WOOLFREY, ANN E"
"MOORE, DAVID J","LEVINE, ANDREW J"
"ROWE, STEVEN MARK","TEARNEY, GUILLERMO J"
"VARAS-DIAZ, NELSON","VILLARRUEL, ANTONIA M."
"NIMGAONKAR, VISHWAJIT LAXMIKANT","MANSOUR, HADER A."
"NIMGAONKAR, VISHWAJIT LAXMIKANT","MANSOUR, HADER A."
"FERKOL, THOMAS W","RANGANATHAN, SARATH CHANDRA"
"FERKOL, THOMAS W","DAVIS, STEPHANIE DUGGINS"
"RANGANATHAN, SARATH CHANDRA","DAVIS, STEPHANIE DUGGINS"
"BALAGOPAL, ASHWIN","THOMAS, DAVID L"
"NAVIA, BRADFORD","THOMPSON, PAUL M"
"MILLER, CHRISTOPHER JAMES","FORTHAL, DONALD N"
"DOKHOLYAN, NIKOLAY","SWANSTROM, RONALD I"
"SILVERBERG, MICHAEL J","DUBROW, ROBERT D"
"WOHL, DAVID A","SMITH, HAYDEN"
"GRINSPAN, JUDITH B","JORDAN-SCIUTTO, KELLY L"
"COLSON, PAUL W","HIRSCH, JENNIFER S"
"ZHU, XIAOPING","PAUZA, C. DAVID"
"FENG, HANPING","TZIPORI, SAUL R"
"DAVIS, KELLY CUE","GEORGE, WILLIAM H"
"MACKMAN, NIGEL","KEY, NIGEL S."
"WANG, THOMAS J.","GERSZTEN, ROBERT E"
"GINSBURG, DAVID","LI, JUN"
"WOODS, STEVEN PAUL","NAAR, SYLVIE"
"BOLLINGER, JOSEPH M","KREBS, CARSTEN"
"BOLLINGER, JOSEPH M","BOOKER, SQUIRE J."
"KREBS, CARSTEN","BOOKER, SQUIRE J."
"WU, ZHIJIN JEAN","RAND, DAVID M"
"JAMES, CHARLES DAVID","PETRITSCH, CLAUDIA KATHARINA"
"DEWEY, COLIN NOEL","BRESNICK, EMERY H"
"DEWEY, COLIN NOEL","KELES, SUNDUZ"
"BRESNICK, EMERY H","KELES, SUNDUZ"
"BUNGE, MARY BARTLETT","BETHEA, JOHN ROLAND"
"AYALA, GUADALUPE X","ISASI, CARMEN R."
"AYALA, GUADALUPE X","BANGDIWALA, SHRIKANT I"
"AYALA, GUADALUPE X","ECKFELDT, JOHN H"
"AYALA, GUADALUPE X","PERREIRA, KRISTA M"
"AYALA, GUADALUPE X","HIMES, JOHN H."
"AYALA, GUADALUPE X","CARNETHON, MERCEDES RENEE"
"AYALA, GUADALUPE X","DELAMATER, ALAN M"
"ISASI, CARMEN R.","BANGDIWALA, SHRIKANT I"
"ISASI, CARMEN R.","ECKFELDT, JOHN H"
"ISASI, CARMEN R.","PERREIRA, KRISTA M"
"ISASI, CARMEN R.","HIMES, JOHN H."
"ISASI, CARMEN R.","CARNETHON, MERCEDES RENEE"
"ISASI, CARMEN R.","DELAMATER, ALAN M"
"BANGDIWALA, SHRIKANT I","ECKFELDT, JOHN H"
"BANGDIWALA, SHRIKANT I","PERREIRA, KRISTA M"
"BANGDIWALA, SHRIKANT I","HIMES, JOHN H."
"BANGDIWALA, SHRIKANT I","CARNETHON, MERCEDES RENEE"
"BANGDIWALA, SHRIKANT I","DELAMATER, ALAN M"
"ECKFELDT, JOHN H","PERREIRA, KRISTA M"
"ECKFELDT, JOHN H","HIMES, JOHN H."
"ECKFELDT, JOHN H","CARNETHON, MERCEDES RENEE"
"ECKFELDT, JOHN H","DELAMATER, ALAN M"
"PERREIRA, KRISTA M","HIMES, JOHN H."
"PERREIRA, KRISTA M","CARNETHON, MERCEDES RENEE"
"PERREIRA, KRISTA M","DELAMATER, ALAN M"
"HIMES, JOHN H.","CARNETHON, MERCEDES RENEE"
"HIMES, JOHN H.","DELAMATER, ALAN M"
"CARNETHON, MERCEDES RENEE","DELAMATER, ALAN M"
"RAJ, ANITA","SAGGURTI, NIRANJAN"
"RAJ, ANITA","SAGGURTI, NIRANJAN"
"SCHMITTER-EDGECOMBE, MAUREEN","COOK, DIANE JOYCE"
"MCROBERTS, JAMES A","MARVIZON, JUAN CARLOS GARCIA"
"KNIGHT, JULIA A","BERNSTEIN, JONINE L."
"KNIGHT, JULIA A","MALONE, KATHLEEN E"
"BERNSTEIN, JONINE L.","MALONE, KATHLEEN E"
"SHAPIRO, LUCILLE","MOERNER, WILLIAM E"
"STROBER, SAMUEL","KAUFMAN, DIXON B"
"STROBER, SAMUEL","KAUFMAN, DIXON B"
"LUMENG, JULIE C","MILLER, ALISON L"
"LUO, XUNRONG","MILLER, STEPHEN D"
"LUO, XUNRONG","HERING, BERNHARD JOSEF"
"MILLER, STEPHEN D","HERING, BERNHARD JOSEF"
"SULIK, KATHLEEN K","O'LEARY-MOORE, SHONAGH K"
"DAVIDSON, KARINA W.","BURG, MATTHEW M"
"VAN WAGONER, DAVID R","BARNARD, JOHN"
"VAN WAGONER, DAVID R","SMITH, JONATHAN D"
"VAN WAGONER, DAVID R","CHUNG, MINA KAY"
"BARNARD, JOHN","SMITH, JONATHAN D"
"BARNARD, JOHN","CHUNG, MINA KAY"
"SMITH, JONATHAN D","CHUNG, MINA KAY"
"BENSON, DEANNA L","HUNTLEY, GEORGE W."
"STROM, TERRY B.","KOULMANDA, MARIA"
"CRIBBS, DAVID HASTINGS","AGADJANYAN, MICHAEL G"
"CRAWFORD, FIONA C.","BACHMEIER, CORBIN"
"KELLY, ANDREA BRIDGET","MAGGE, SHEELA NATESH"
"REYNOLDS, ANGELA MARIE","HEISE, REBECCA LONG"
"KWAN, MARILYN L","YAO, SONG"
"HAMMOND, PETER","FOROUD, TATIANA M."
"GOLDEN, SUSAN S","POGLIANO, JOSEPH A"
"LEVINE, BRUCE L.","RAPOPORT, AARON P"
"LEVINE, BRUCE L.","KALOS, MICHAEL D"
"RAPOPORT, AARON P","KALOS, MICHAEL D"
"WALSH, MARTIN JOHN","ZHOU, MING-MING"
"YANG, DANZHOU","HURLEY, LAURENCE H."
"FUTSCHER, BERNARD W","MARTINEZ, MARIA ELENA"
"MURPHY, SUSAN KAY","HOYO, CATHRINE"
"BOUVET, MICHAEL","YANG, MENG"
"SLOANE, BONNIE F","MATTINGLY, RAYMOND R"
"ARTERBURN, JEFFREY B","OPREA, TUDOR I"
"ARTERBURN, JEFFREY B","PROSSNITZ, ERIC R"
"OPREA, TUDOR I","PROSSNITZ, ERIC R"
"HRUBY, VICTOR J","MORSE, DAVID L"
"LEROITH, DEREK","BICKELL, NINA A."
"EITLE, TAMELA","EITLE, DAVID"
"KOMESU, YUKO MARGARET","KETAI, LOREN HOWARD"
"KOMESU, YUKO MARGARET","KETAI, LOREN HOWARD"
"KOMESU, YUKO MARGARET","KETAI, LOREN HOWARD"
"ABEL, EDWIN TED G.","BLACKWELL, KIM L"
"RAVENELL, JOSEPH E","THOMPSON, HAYLEY S."
"ROWLAND, LAURA M","BARKER, PETER B"
"SLADE, GARY DOUGLAS","WEIR, BRUCE S."
"SLADE, GARY DOUGLAS","SUNYAEV, SHAMIL"
"SLADE, GARY DOUGLAS","MAIXNER, WILLIAM"
"SLADE, GARY DOUGLAS","DIATCHENKO, LUDA"
"SLADE, GARY DOUGLAS","FILLINGIM, ROGER B"
"SLADE, GARY DOUGLAS","OHRBACH, RICHARD"
"SLADE, GARY DOUGLAS","KNOTT, CHARLES"
"SLADE, GARY DOUGLAS","GREENSPAN, JOEL D."
"WEIR, BRUCE S.","SUNYAEV, SHAMIL"
"WEIR, BRUCE S.","MAIXNER, WILLIAM"
"WEIR, BRUCE S.","DIATCHENKO, LUDA"
"WEIR, BRUCE S.","FILLINGIM, ROGER B"
"WEIR, BRUCE S.","OHRBACH, RICHARD"
"WEIR, BRUCE S.","KNOTT, CHARLES"
"WEIR, BRUCE S.","GREENSPAN, JOEL D."
"SUNYAEV, SHAMIL","MAIXNER, WILLIAM"
"SUNYAEV, SHAMIL","DIATCHENKO, LUDA"
"SUNYAEV, SHAMIL","FILLINGIM, ROGER B"
"SUNYAEV, SHAMIL","OHRBACH, RICHARD"
"SUNYAEV, SHAMIL","KNOTT, CHARLES"
"SUNYAEV, SHAMIL","GREENSPAN, JOEL D."
"MAIXNER, WILLIAM","DIATCHENKO, LUDA"
"MAIXNER, WILLIAM","FILLINGIM, ROGER B"
"MAIXNER, WILLIAM","OHRBACH, RICHARD"
"MAIXNER, WILLIAM","KNOTT, CHARLES"
"MAIXNER, WILLIAM","GREENSPAN, JOEL D."
"DIATCHENKO, LUDA","FILLINGIM, ROGER B"
"DIATCHENKO, LUDA","OHRBACH, RICHARD"
"DIATCHENKO, LUDA","KNOTT, CHARLES"
"DIATCHENKO, LUDA","GREENSPAN, JOEL D."
"FILLINGIM, ROGER B","OHRBACH, RICHARD"
"FILLINGIM, ROGER B","KNOTT, CHARLES"
"FILLINGIM, ROGER B","GREENSPAN, JOEL D."
"OHRBACH, RICHARD","KNOTT, CHARLES"
"OHRBACH, RICHARD","GREENSPAN, JOEL D."
"KNOTT, CHARLES","GREENSPAN, JOEL D."
"JABS, ETHYLIN WANG","RICHTSMEIER, JOAN THERESE"
"CHOUGNET, CLAIRE A","HILDEMAN, DAVID A"
"BAKER, OLGA JULIANA","ANDREADIS, STELIOS THEOHARIS"
"FARACH-CARSON, MARY C","JIA, XINQIAO"
"FARACH-CARSON, MARY C","WITT, ROBERT LEE"
"JIA, XINQIAO","WITT, ROBERT LEE"
"CHEN, JU","STEINBERG, SUSAN F"
"REYNOLDS, NANCY R","PAINTSIL, ELIJAH"
"HO, SHUK-MEI","PRINS, GAIL S"
"CHANG, GEOFFREY A","HAMDOUN, AMRO M"
"MATHALON, DANIEL H","EISENDRATH, STUART JAMES"
"BUNZ, FRED","BUCKHAULTS, PHILLIP JOE"
"PUSHKO, PETER M.","LUKASHEVICH, IGOR S."
"WHITEHEAD, JOHN ANDREW","GALVEZ, FERNANDO"
"WHITEHEAD, JOHN ANDREW","GREEN, CHRISTOPHER C"
"GALVEZ, FERNANDO","GREEN, CHRISTOPHER C"
"PLACE, ALLEN RICHARD","JAGUS, ROSEMARY"
"GABRILOVICH, DMITRY I","KAGAN, VALERIAN E"
"PACIFICI, MAURIZIO","IWAMOTO, MASAHIRO"
"LAFFEL, LORI M","ANDERSON, BARBARA JANE"
"GUYER, AMANDA E","HASTINGS, PAUL DAVID"
"CANINO, GLORISA J","ALEGRIA, MARGARITA"
"CANINO, GLORISA J","DUARTE, CRISTIANE S."
"ALEGRIA, MARGARITA","DUARTE, CRISTIANE S."
"GRANT, MARIA BARTOLOMEO","MOHR, SUSANNE"
"GRANT, MARIA BARTOLOMEO","ABCOUWER, STEVEN F"
"MOHR, SUSANNE","ABCOUWER, STEVEN F"
"STEIN, ROLAND W","WRIGHT, CHRISTOPHER V"
"MARCINEK, DAVID J.","LEFEBVRE, KATHI"
"MAYER, EMERAN A","LACKNER, JEFFREY M"
"KNIGHT, DAVID C","MRUG, SYLVIE"
"LALLA, RAJESH V.","BRENNAN, MICHAEL T"
"ARPADI, STEPHEN M","YIN, MICHAEL T"
"CHAUHAN, ANIL CHAUHAN","MOORE, TERRY LYNN"
"SAHIN, MUSTAFA","KRUEGER, DARCY"
"SAHIN, MUSTAFA","KRUEGER, DARCY"
"PHANUPHAK, NITTAYA","SOHN, ANNETTE H"
"WEISS, JEFFREY A.","ATESHIAN, GERARD A."
"REESE, PETER PHILIP","VOLPP, KEVIN G"
"REESE, PETER PHILIP","BARANKAY, IWAN"
"VOLPP, KEVIN G","BARANKAY, IWAN"
"BAYLIN, STEPHEN B.","JONES, PETER A"
"BAYLIN, STEPHEN B.","LAIRD, PETER W"
"JONES, PETER A","LAIRD, PETER W"
"GEORGE, STEVEN CARL","WATERMAN, MARIAN L"
"GEORGE, STEVEN CARL","HUGHES, CHRISTOPHER C. W."
"GEORGE, STEVEN CARL","LEE, ABRAHAM P."
"WATERMAN, MARIAN L","HUGHES, CHRISTOPHER C. W."
"WATERMAN, MARIAN L","LEE, ABRAHAM P."
"HUGHES, CHRISTOPHER C. W.","LEE, ABRAHAM P."
"PHILLIPS, ANDREW J.","TAATJES, DYLAN J"
"PHILLIPS, ANDREW J.","SCHEPARTZ, ALANNA"
"TAATJES, DYLAN J","SCHEPARTZ, ALANNA"
"HEATH, JAMES R.","RIBAS, ANTONI"
"SEEWALDT, VICTORIA L.","KUPERWASSER, CHARLOTTE"
"PANIGRAHY, DIPAK","SERHAN, CHARLES NICHOLAS"
"ROBERTS, RICHARD W","TAKAHASHI, TERRY TORAO"
"ROBERTS, RICHARD W","WANG, PIN"
"TAKAHASHI, TERRY TORAO","WANG, PIN"
"LIGON, KEITH LLOYD","MANALIS, SCOTT R"
"LIBUTTI, STEVEN K.","KITSIS, RICHARD N"
"XU, SONGHUA","TOURASSI, GEORGIA"
"CONDEELIS, JOHN S","OKTAY, MAJA HRZENJAK"
"CONDEELIS, JOHN S","GOSWAMI, SUMANTA"
"OKTAY, MAJA HRZENJAK","GOSWAMI, SUMANTA"
"MILES, MICHAEL F","GROTEWIEL, MICHAEL S."
"LOUGHRAN, THOMAS PATRICK","SCHUSTER, STEPHAN C"
"RUGGLES, STEVE","WARREN, JOHN ROBERT"
"LERMAN, CARYN","KABLE, JOSEPH W"
"GALLOWAY, DENISE A.","WANG, DAVID"
"GALLOWAY, DENISE A.","MADELEINE, MARGARET M"
"GALLOWAY, DENISE A.","CASPER, COREY"
"WANG, DAVID","MADELEINE, MARGARET M"
"WANG, DAVID","CASPER, COREY"
"MADELEINE, MARGARET M","CASPER, COREY"
"RAVICHANDRAN, KODI S","KIPNIS, JONATHAN"
"LUKER, GARY D","TAKAYAMA, SHUICHI"
"HEROLD, KEVAN C","HAFLER, DAVID A."
"HEROLD, KEVAN C","HAFLER, DAVID A."
"ZORRILLA, ERIC P","CONTI, BRUNO"
"KARNO, MITCHELL P","GLASNER-EDWARDS, SUZETTE V"
"KARNO, MITCHELL P","RAWSON, RICHARD A"
"GLASNER-EDWARDS, SUZETTE V","RAWSON, RICHARD A"
"COOPER, LAURENCE J.N.","LI, KING C."
"COOPER, LAURENCE J.N.","YAGHOUBI, SHAHRIAR"
"LI, KING C.","YAGHOUBI, SHAHRIAR"
"MODAK, SHAKEEL","HSU, KATHARINE C"
"CULURCIELLO, EUGENIO","PIERIBONE, VINCENT A"
"WATTS, ALAN B.","SESSLER, JONATHAN L"
"BARGIELLO, THADDEUS ANDREW","DOWD, TERRY LYNNE"
